sk_date,full_date,year_month,year_quarter,month_sort_key,day_num,day_name,week_num,month_num,month_name,quarter_num,semester_num,year_num,is_weekend,is_holiday,country_code
164,2024-06-12,2024-06,2024-Q2,202406,12,Wednesday,24,6,June,2,1,2024,0,0,FR
165,2024-06-13,2024-06,2024-Q2,202406,13,Thursday,24,6,June,2,1,2024,0,0,FR
166,2024-06-14,2024-06,2024-Q2,202406,14,Friday,24,6,June,2,1,2024,0,0,FR
167,2024-06-15,2024-06,2024-Q2,202406,15,Saturday,24,6,June,2,1,2024,1,0,FR
168,2024-06-16,2024-06,2024-Q2,202406,16,Sunday,24,6,June,2,1,2024,1,0,FR
169,2024-06-17,2024-06,2024-Q2,202406,17,Monday,25,6,June,2,1,2024,0,0,FR
170,2024-06-18,2024-06,2024-Q2,202406,18,Tuesday,25,6,June,2,1,2024,0,0,FR
171,2024-06-19,2024-06,2024-Q2,202406,19,Wednesday,25,6,June,2,1,2024,0,0,FR
172,2024-06-20,2024-06,2024-Q2,202406,20,Thursday,25,6,June,2,1,2024,0,0,FR
173,2024-06-21,2024-06,2024-Q2,202406,21,Friday,25,6,June,2,1,2024,0,0,FR
174,2024-06-22,2024-06,2024-Q2,202406,22,Saturday,25,6,June,2,1,2024,1,0,FR
175,2024-06-23,2024-06,2024-Q2,202406,23,Sunday,25,6,June,2,1,2024,1,0,FR
176,2024-06-24,2024-06,2024-Q2,202406,24,Monday,26,6,June,2,1,2024,0,0,FR
177,2024-06-25,2024-06,2024-Q2,202406,25,Tuesday,26,6,June,2,1,2024,0,0,FR
178,2024-06-26,2024-06,2024-Q2,202406,26,Wednesday,26,6,June,2,1,2024,0,0,FR
179,2024-06-27,2024-06,2024-Q2,202406,27,Thursday,26,6,June,2,1,2024,0,0,FR
180,2024-06-28,2024-06,2024-Q2,202406,28,Friday,26,6,June,2,1,2024,0,0,FR
181,2024-06-29,2024-06,2024-Q2,202406,29,Saturday,26,6,June,2,1,2024,1,0,FR
182,2024-06-30,2024-06,2024-Q2,202406,30,Sunday,26,6,June,2,1,2024,1,0,FR
183,2024-07-01,2024-07,2024-Q3,202407,1,Monday,27,7,July,3,2,2024,0,0,FR
184,2024-07-02,2024-07,2024-Q3,202407,2,Tuesday,27,7,July,3,2,2024,0,0,FR
185,2024-07-03,2024-07,2024-Q3,202407,3,Wednesday,27,7,July,3,2,2024,0,0,FR
186,2024-07-04,2024-07,2024-Q3,202407,4,Thursday,27,7,July,3,2,2024,0,0,FR
187,2024-07-05,2024-07,2024-Q3,202407,5,Friday,27,7,July,3,2,2024,0,0,FR
188,2024-07-06,2024-07,2024-Q3,202407,6,Saturday,27,7,July,3,2,2024,1,0,FR
189,2024-07-07,2024-07,2024-Q3,202407,7,Sunday,27,7,July,3,2,2024,1,0,FR
190,2024-07-08,2024-07,2024-Q3,202407,8,Monday,28,7,July,3,2,2024,0,0,FR
191,2024-07-09,2024-07,2024-Q3,202407,9,Tuesday,28,7,July,3,2,2024,0,0,FR
192,2024-07-10,2024-07,2024-Q3,202407,10,Wednesday,28,7,July,3,2,2024,0,0,FR
193,2024-07-11,2024-07,2024-Q3,202407,11,Thursday,28,7,July,3,2,2024,0,0,FR
194,2024-07-12,2024-07,2024-Q3,202407,12,Friday,28,7,July,3,2,2024,0,0,FR
195,2024-07-13,2024-07,2024-Q3,202407,13,Saturday,28,7,July,3,2,2024,1,0,FR
196,2024-07-14,2024-07,2024-Q3,202407,14,Sunday,28,7,July,3,2,2024,1,1,FR
197,2024-07-15,2024-07,2024-Q3,202407,15,Monday,29,7,July,3,2,2024,0,0,FR
198,2024-07-16,2024-07,2024-Q3,202407,16,Tuesday,29,7,July,3,2,2024,0,0,FR
199,2024-07-17,2024-07,2024-Q3,202407,17,Wednesday,29,7,July,3,2,2024,0,0,FR
200,2024-07-18,2024-07,2024-Q3,202407,18,Thursday,29,7,July,3,2,2024,0,0,FR
201,2024-07-19,2024-07,2024-Q3,202407,19,Friday,29,7,July,3,2,2024,0,0,FR
202,2024-07-20,2024-07,2024-Q3,202407,20,Saturday,29,7,July,3,2,2024,1,0,FR
203,2024-07-21,2024-07,2024-Q3,202407,21,Sunday,29,7,July,3,2,2024,1,0,FR
204,2024-07-22,2024-07,2024-Q3,202407,22,Monday,30,7,July,3,2,2024,0,0,FR
205,2024-07-23,2024-07,2024-Q3,202407,23,Tuesday,30,7,July,3,2,2024,0,0,FR
206,2024-07-24,2024-07,2024-Q3,202407,24,Wednesday,30,7,July,3,2,2024,0,0,FR
207,2024-07-25,2024-07,2024-Q3,202407,25,Thursday,30,7,July,3,2,2024,0,0,FR
